material,quantidade,estoque mínimo,categoria,corredor,armário,prateleira,observação
Produto 64,164,10,Cat4,A4,04,04,Item de teste 64
Produto 65,165,10,Cat5,A0,05,05,Item de teste 65
Produto 66,166,10,Cat6,A1,06,06,Item de teste 66
Produto 67,167,10,Cat7,A2,07,07,Item de teste 67
Produto 68,168,10,Cat8,A3,08,08,Item de teste 68
Produto 69,169,10,Cat9,A4,09,09,Item de teste 69
Produto 70,170,10,Cat0,A0,10,00,Item de teste 70
Produto 71,171,10,Cat1,A1,11,01,Item de teste 71
Produto 72,172,10,Cat2,A2,12,02,Item de teste 72
Produto 73,173,10,Cat3,A3,13,03,Item de teste 73
Produto 74,174,10,Cat4,A4,14,04,Item de teste 74
Produto 75,175,10,Cat5,A0,15,05,Item de teste 75
Produto 76,176,10,Cat6,A1,16,06,Item de teste 76
Produto 77,177,10,Cat7,A2,17,07,Item de teste 77
Produto 78,178,10,Cat8,A3,18,08,Item de teste 78
Produto 79,179,10,Cat9,A4,19,09,Item de teste 79
Produto 80,180,10,Cat0,A0,00,00,Item de teste 80
Produto 81,181,10,Cat1,A1,01,01,Item de teste 81
Produto 82,182,10,Cat2,A2,02,02,Item de teste 82
Produto 83,183,10,Cat3,A3,03,03,Item de teste 83
Produto 84,184,10,Cat4,A4,04,04,Item de teste 84
Produto 85,185,10,Cat5,A0,05,05,Item de teste 85
Produto 86,186,10,Cat6,A1,06,06,Item de teste 86
Produto 87,187,10,Cat7,A2,07,07,Item de teste 87
Produto 88,188,10,Cat8,A3,08,08,Item de teste 88
Produto 89,189,10,Cat9,A4,09,09,Item de teste 89
Produto 90,190,10,Cat0,A0,10,00,Item de teste 90
Produto 91,191,10,Cat1,A1,11,01,Item de teste 91
Produto 92,192,10,Cat2,A2,12,02,Item de teste 92
Produto 93,193,10,Cat3,A3,13,03,Item de teste 93
Produto 94,194,10,Cat4,A4,14,04,Item de teste 94
Produto 95,195,10,Cat5,A0,15,05,Item de teste 95
Produto 96,196,10,Cat6,A1,16,06,Item de teste 96
Produto 97,197,10,Cat7,A2,17,07,Item de teste 97
Produto 98,198,10,Cat8,A3,18,08,Item de teste 98
Produto 99,199,10,Cat9,A4,19,09,Item de teste 99
Produto 100,200,10,Cat0,A0,00,00,Item de teste 100
Produto 101,201,10,Cat1,A1,01,01,Item de teste 101
Produto 102,202,10,Cat2,A2,02,02,Item de teste 102
Produto 103,203,10,Cat3,A3,03,03,Item de teste 103
Produto 104,204,10,Cat4,A4,04,04,Item de teste 104
Produto 105,205,10,Cat5,A0,05,05,Item de teste 105
Produto 106,206,10,Cat6,A1,06,06,Item de teste 106
Produto 107,207,10,Cat7,A2,07,07,Item de teste 107
Produto 108,208,10,Cat8,A3,08,08,Item de teste 108
Produto 109,209,10,Cat9,A4,09,09,Item de teste 109
Produto 110,210,10,Cat0,A0,10,00,Item de teste 110
Produto 111,211,10,Cat1,A1,11,01,Item de teste 111
Produto 112,212,10,Cat2,A2,12,02,Item de teste 112
Produto 113,213,10,Cat3,A3,13,03,Item de teste 113
Produto 114,214,10,Cat4,A4,14,04,Item de teste 114
Produto 115,215,10,Cat5,A0,15,05,Item de teste 115
Produto 116,216,10,Cat6,A1,16,06,Item de teste 116
Produto 117,217,10,Cat7,A2,17,07,Item de teste 117
Produto 118,218,10,Cat8,A3,18,08,Item de teste 118
Produto 119,219,10,Cat9,A4,19,09,Item de teste 119
Produto 120,220,10,Cat0,A0,00,00,Item de teste 120
Produto 121,221,10,Cat1,A1,01,01,Item de teste 121
Produto 122,222,10,Cat2,A2,02,02,Item de teste 122
Produto 123,223,10,Cat3,A3,03,03,Item de teste 123
Produto 124,224,10,Cat4,A4,04,04,Item de teste 124
Produto 125,225,10,Cat5,A0,05,05,Item de teste 125
Produto 126,226,10,Cat6,A1,06,06,Item de teste 126
Produto 127,227,10,Cat7,A2,07,07,Item de teste 127
Produto 128,228,10,Cat8,A3,08,08,Item de teste 128
Produto 129,229,10,Cat9,A4,09,09,Item de teste 129
Produto 130,230,10,Cat0,A0,10,00,Item de teste 130
Produto 131,231,10,Cat1,A1,11,01,Item de teste 131
Produto 132,232,10,Cat2,A2,12,02,Item de teste 132
Produto 133,233,10,Cat3,A3,13,03,Item de teste 133
Produto 134,234,10,Cat4,A4,14,04,Item de teste 134
Produto 135,235,10,Cat5,A0,15,05,Item de teste 135
Produto 136,236,10,Cat6,A1,16,06,Item de teste 136
Produto 137,237,10,Cat7,A2,17,07,Item de teste 137
Produto 138,238,10,Cat8,A3,18,08,Item de teste 138
Produto 139,239,10,Cat9,A4,19,09,Item de teste 139
Produto 140,240,10,Cat0,A0,00,00,Item de teste 140
Produto 141,241,10,Cat1,A1,01,01,Item de teste 141
Produto 142,242,10,Cat2,A2,02,02,Item de teste 142
Produto 143,243,10,Cat3,A3,03,03,Item de teste 143
Produto 144,244,10,Cat4,A4,04,04,Item de teste 144
Produto 145,245,10,Cat5,A0,05,05,Item de teste 145
Produto 146,246,10,Cat6,A1,06,06,Item de teste 146
Produto 147,247,10,Cat7,A2,07,07,Item de teste 147
Produto 148,248,10,Cat8,A3,08,08,Item de teste 148
Produto 149,249,10,Cat9,A4,09,09,Item de teste 149
Produto 150,250,10,Cat0,A0,10,00,Item de teste 150
Produto 151,251,10,Cat1,A1,11,01,Item de teste 151
Produto 152,252,10,Cat2,A2,12,02,Item de teste 152
Produto 153,253,10,Cat3,A3,13,03,Item de teste 153
Produto 154,254,10,Cat4,A4,14,04,Item de teste 154
Produto 155,255,10,Cat5,A0,15,05,Item de teste 155
Produto 156,256,10,Cat6,A1,16,06,Item de teste 156
Produto 157,257,10,Cat7,A2,17,07,Item de teste 157
Produto 158,258,10,Cat8,A3,18,08,Item de teste 158
Produto 159,259,10,Cat9,A4,19,09,Item de teste 159
Produto 160,260,10,Cat0,A0,00,00,Item de teste 160
Produto 161,261,10,Cat1,A1,01,01,Item de teste 161
Produto 162,262,10,Cat2,A2,02,02,Item de teste 162
Produto 163,263,10,Cat3,A3,03,03,Item de teste 163
Produto 164,264,10,Cat4,A4,04,04,Item de teste 164
Produto 165,265,10,Cat5,A0,05,05,Item de teste 165
Produto 166,266,10,Cat6,A1,06,06,Item de teste 166
Produto 167,267,10,Cat7,A2,07,07,Item de teste 167
Produto 168,268,10,Cat8,A3,08,08,Item de teste 168
Produto 169,269,10,Cat9,A4,09,09,Item de teste 169
Produto 170,270,10,Cat0,A0,10,00,Item de teste 170
Produto 171,271,10,Cat1,A1,11,01,Item de teste 171
Produto 172,272,10,Cat2,A2,12,02,Item de teste 172
Produto 173,273,10,Cat3,A3,13,03,Item de teste 173
Produto 174,274,10,Cat4,A4,14,04,Item de teste 174
Produto 175,275,10,Cat5,A0,15,05,Item de teste 175
Produto 176,276,10,Cat6,A1,16,06,Item de teste 176
Produto 177,277,10,Cat7,A2,17,07,Item de teste 177
Produto 178,278,10,Cat8,A3,18,08,Item de teste 178
Produto 179,279,10,Cat9,A4,19,09,Item de teste 179
Produto 180,280,10,Cat0,A0,00,00,Item de teste 180
Produto 181,281,10,Cat1,A1,01,01,Item de teste 181
Produto 182,282,10,Cat2,A2,02,02,Item de teste 182
Produto 183,283,10,Cat3,A3,03,03,Item de teste 183
Produto 184,284,10,Cat4,A4,04,04,Item de teste 184
Produto 185,285,10,Cat5,A0,05,05,Item de teste 185
Produto 186,286,10,Cat6,A1,06,06,Item de teste 186
Produto 187,287,10,Cat7,A2,07,07,Item de teste 187
Produto 188,288,10,Cat8,A3,08,08,Item de teste 188
Produto 189,289,10,Cat9,A4,09,09,Item de teste 189
Produto 190,290,10,Cat0,A0,10,00,Item de teste 190
Produto 191,291,10,Cat1,A1,11,01,Item de teste 191
Produto 192,292,10,Cat2,A2,12,02,Item de teste 192
Produto 193,293,10,Cat3,A3,13,03,Item de teste 193
Produto 194,294,10,Cat4,A4,14,04,Item de teste 194
Produto 195,295,10,Cat5,A0,15,05,Item de teste 195
Produto 196,296,10,Cat6,A1,16,06,Item de teste 196
Produto 197,297,10,Cat7,A2,17,07,Item de teste 197
Produto 198,298,10,Cat8,A3,18,08,Item de teste 198
Produto 199,299,10,Cat9,A4,19,09,Item de teste 199
Produto 200,300,10,Cat0,A0,00,00,Item de teste 200
Produto 201,301,10,Cat1,A1,01,01,Item de teste 201
Produto 202,302,10,Cat2,A2,02,02,Item de teste 202
Produto 203,303,10,Cat3,A3,03,03,Item de teste 203
Produto 204,304,10,Cat4,A4,04,04,Item de teste 204
Produto 205,305,10,Cat5,A0,05,05,Item de teste 205
Produto 206,306,10,Cat6,A1,06,06,Item de teste 206
Produto 207,307,10,Cat7,A2,07,07,Item de teste 207
Produto 208,308,10,Cat8,A3,08,08,Item de teste 208
Produto 209,309,10,Cat9,A4,09,09,Item de teste 209
Produto 210,310,10,Cat0,A0,10,00,Item de teste 210
Produto 211,311,10,Cat1,A1,11,01,Item de teste 211
Produto 212,312,10,Cat2,A2,12,02,Item de teste 212
Produto 213,313,10,Cat3,A3,13,03,Item de teste 213
Produto 214,314,10,Cat4,A4,14,04,Item de teste 214
Produto 215,315,10,Cat5,A0,15,05,Item de teste 215
Produto 216,316,10,Cat6,A1,16,06,Item de teste 216
Produto 217,317,10,Cat7,A2,17,07,Item de teste 217
Produto 218,318,10,Cat8,A3,18,08,Item de teste 218
Produto 219,319,10,Cat9,A4,19,09,Item de teste 219
Produto 220,320,10,Cat0,A0,00,00,Item de teste 220
Produto 221,321,10,Cat1,A1,01,01,Item de teste 221
Produto 222,322,10,Cat2,A2,02,02,Item de teste 222
Produto 223,323,10,Cat3,A3,03,03,Item de teste 223
Produto 224,324,10,Cat4,A4,04,04,Item de teste 224
Produto 225,325,10,Cat5,A0,05,05,Item de teste 225
Produto 226,326,10,Cat6,A1,06,06,Item de teste 226
Produto 227,327,10,Cat7,A2,07,07,Item de teste 227
Produto 228,328,10,Cat8,A3,08,08,Item de teste 228
Produto 229,329,10,Cat9,A4,09,09,Item de teste 229
Produto 230,330,10,Cat0,A0,10,00,Item de teste 230
Produto 231,331,10,Cat1,A1,11,01,Item de teste 231
Produto 232,332,10,Cat2,A2,12,02,Item de teste 232
Produto 233,333,10,Cat3,A3,13,03,Item de teste 233
Produto 234,334,10,Cat4,A4,14,04,Item de teste 234
Produto 235,335,10,Cat5,A0,15,05,Item de teste 235
Produto 236,336,10,Cat6,A1,16,06,Item de teste 236
Produto 237,337,10,Cat7,A2,17,07,Item de teste 237
Produto 238,338,10,Cat8,A3,18,08,Item de teste 238
Produto 239,339,10,Cat9,A4,19,09,Item de teste 239
Produto 240,340,10,Cat0,A0,00,00,Item de teste 240
Produto 241,341,10,Cat1,A1,01,01,Item de teste 241
Produto 242,342,10,Cat2,A2,02,02,Item de teste 242
Produto 243,343,10,Cat3,A3,03,03,Item de teste 243
Produto 244,344,10,Cat4,A4,04,04,Item de teste 244
Produto 245,345,10,Cat5,A0,05,05,Item de teste 245
Produto 246,346,10,Cat6,A1,06,06,Item de teste 246
Produto 247,347,10,Cat7,A2,07,07,Item de teste 247
Produto 248,348,10,Cat8,A3,08,08,Item de teste 248
Produto 249,349,10,Cat9,A4,09,09,Item de teste 249
Produto 250,350,10,Cat0,A0,10,00,Item de teste 250
Produto 251,351,10,Cat1,A1,11,01,Item de teste 251
Produto 252,352,10,Cat2,A2,12,02,Item de teste 252
Produto 253,353,10,Cat3,A3,13,03,Item de teste 253
Produto 254,354,10,Cat4,A4,14,04,Item de teste 254
Produto 255,355,10,Cat5,A0,15,05,Item de teste 255
Produto 256,356,10,Cat6,A1,16,06,Item de teste 256
Produto 257,357,10,Cat7,A2,17,07,Item de teste 257
Produto 258,358,10,Cat8,A3,18,08,Item de teste 258
Produto 259,359,10,Cat9,A4,19,09,Item de teste 259
Produto 260,360,10,Cat0,A0,00,00,Item de teste 260
Produto 261,361,10,Cat1,A1,01,01,Item de teste 261
Produto 262,362,10,Cat2,A2,02,02,Item de teste 262
Produto 263,363,10,Cat3,A3,03,03,Item de teste 263
Produto 264,364,10,Cat4,A4,04,04,Item de teste 264
Produto 265,365,10,Cat5,A0,05,05,Item de teste 265
Produto 266,366,10,Cat6,A1,06,06,Item de teste 266
Produto 267,367,10,Cat7,A2,07,07,Item de teste 267
Produto 268,368,10,Cat8,A3,08,08,Item de teste 268
Produto 269,369,10,Cat9,A4,09,09,Item de teste 269
Produto 270,370,10,Cat0,A0,10,00,Item de teste 270
Produto 271,371,10,Cat1,A1,11,01,Item de teste 271
Produto 272,372,10,Cat2,A2,12,02,Item de teste 272
Produto 273,373,10,Cat3,A3,13,03,Item de teste 273
Produto 274,374,10,Cat4,A4,14,04,Item de teste 274
Produto 275,375,10,Cat5,A0,15,05,Item de teste 275
Produto 276,376,10,Cat6,A1,16,06,Item de teste 276
Produto 277,377,10,Cat7,A2,17,07,Item de teste 277
Produto 278,378,10,Cat8,A3,18,08,Item de teste 278
Produto 279,379,10,Cat9,A4,19,09,Item de teste 279
Produto 280,380,10,Cat0,A0,00,00,Item de teste 280
Produto 281,381,10,Cat1,A1,01,01,Item de teste 281
Produto 282,382,10,Cat2,A2,02,02,Item de teste 282
Produto 283,383,10,Cat3,A3,03,03,Item de teste 283
Produto 284,384,10,Cat4,A4,04,04,Item de teste 284
Produto 285,385,10,Cat5,A0,05,05,Item de teste 285
Produto 286,386,10,Cat6,A1,06,06,Item de teste 286
Produto 287,387,10,Cat7,A2,07,07,Item de teste 287
Produto 288,388,10,Cat8,A3,08,08,Item de teste 288
Produto 289,389,10,Cat9,A4,09,09,Item de teste 289
Produto 290,390,10,Cat0,A0,10,00,Item de teste 290
Produto 291,391,10,Cat1,A1,11,01,Item de teste 291
Produto 292,392,10,Cat2,A2,12,02,Item de teste 292
Produto 293,393,10,Cat3,A3,13,03,Item de teste 293
Produto 294,394,10,Cat4,A4,14,04,Item de teste 294
Produto 295,395,10,Cat5,A0,15,05,Item de teste 295
Produto 296,396,10,Cat6,A1,16,06,Item de teste 296
Produto 297,397,10,Cat7,A2,17,07,Item de teste 297
Produto 298,398,10,Cat8,A3,18,08,Item de teste 298
Produto 299,399,10,Cat9,A4,19,09,Item de teste 299
Produto 300,400,10,Cat0,A0,00,00,Item de teste 300
Produto 301,401,10,Cat1,A1,01,01,Item de teste 301
Produto 302,402,10,Cat2,A2,02,02,Item de teste 302
Produto 303,403,10,Cat3,A3,03,03,Item de teste 303
Produto 304,404,10,Cat4,A4,04,04,Item de teste 304
Produto 305,405,10,Cat5,A0,05,05,Item de teste 305
Produto 306,406,10,Cat6,A1,06,06,Item de teste 306
Produto 307,407,10,Cat7,A2,07,07,Item de teste 307
Produto 308,408,10,Cat8,A3,08,08,Item de teste 308
Produto 309,409,10,Cat9,A4,09,09,Item de teste 309
Produto 310,410,10,Cat0,A0,10,00,Item de teste 310
Produto 311,411,10,Cat1,A1,11,01,Item de teste 311
Produto 312,412,10,Cat2,A2,12,02,Item de teste 312
Produto 313,413,10,Cat3,A3,13,03,Item de teste 313
Produto 314,414,10,Cat4,A4,14,04,Item de teste 314
Produto 315,415,10,Cat5,A0,15,05,Item de teste 315
Produto 316,416,10,Cat6,A1,16,06,Item de teste 316
Produto 317,417,10,Cat7,A2,17,07,Item de teste 317
Produto 318,418,10,Cat8,A3,18,08,Item de teste 318
Produto 319,419,10,Cat9,A4,19,09,Item de teste 319
Produto 320,420,10,Cat0,A0,00,00,Item de teste 320
Produto 321,421,10,Cat1,A1,01,01,Item de teste 321
Produto 322,422,10,Cat2,A2,02,02,Item de teste 322
Produto 323,423,10,Cat3,A3,03,03,Item de teste 323
Produto 324,424,10,Cat4,A4,04,04,Item de teste 324
Produto 325,425,10,Cat5,A0,05,05,Item de teste 325
Produto 326,426,10,Cat6,A1,06,06,Item de teste 326
Produto 327,427,10,Cat7,A2,07,07,Item de teste 327
Produto 328,428,10,Cat8,A3,08,08,Item de teste 328
Produto 329,429,10,Cat9,A4,09,09,Item de teste 329
Produto 330,430,10,Cat0,A0,10,00,Item de teste 330
Produto 331,431,10,Cat1,A1,11,01,Item de teste 331
Produto 332,432,10,Cat2,A2,12,02,Item de teste 332
Produto 333,433,10,Cat3,A3,13,03,Item de teste 333
Produto 334,434,10,Cat4,A4,14,04,Item de teste 334
Produto 335,435,10,Cat5,A0,15,05,Item de teste 335
Produto 336,436,10,Cat6,A1,16,06,Item de teste 336
Produto 337,437,10,Cat7,A2,17,07,Item de teste 337
Produto 338,438,10,Cat8,A3,18,08,Item de teste 338
Produto 339,439,10,Cat9,A4,19,09,Item de teste 339
Produto 340,440,10,Cat0,A0,00,00,Item de teste 340
Produto 341,441,10,Cat1,A1,01,01,Item de teste 341
Produto 342,442,10,Cat2,A2,02,02,Item de teste 342
Produto 343,443,10,Cat3,A3,03,03,Item de teste 343
Produto 344,444,10,Cat4,A4,04,04,Item de teste 344
Produto 345,445,10,Cat5,A0,05,05,Item de teste 345
Produto 346,446,10,Cat6,A1,06,06,Item de teste 346
Produto 347,447,10,Cat7,A2,07,07,Item de teste 347
Produto 348,448,10,Cat8,A3,08,08,Item de teste 348
Produto 349,449,10,Cat9,A4,09,09,Item de teste 349
Produto 350,450,10,Cat0,A0,10,00,Item de teste 350
Produto 351,451,10,Cat1,A1,11,01,Item de teste 351
Produto 352,452,10,Cat2,A2,12,02,Item de teste 352
Produto 353,453,10,Cat3,A3,13,03,Item de teste 353
Produto 354,454,10,Cat4,A4,14,04,Item de teste 354
Produto 355,455,10,Cat5,A0,15,05,Item de teste 355
Produto 356,456,10,Cat6,A1,16,06,Item de teste 356
Produto 357,457,10,Cat7,A2,17,07,Item de teste 357
Produto 358,458,10,Cat8,A3,18,08,Item de teste 358
Produto 359,459,10,Cat9,A4,19,09,Item de teste 359
Produto 360,460,10,Cat0,A0,00,00,Item de teste 360
Produto 361,461,10,Cat1,A1,01,01,Item de teste 361
Produto 362,462,10,Cat2,A2,02,02,Item de teste 362
Produto 363,463,10,Cat3,A3,03,03,Item de teste 363
Produto 364,464,10,Cat4,A4,04,04,Item de teste 364
Produto 365,465,10,Cat5,A0,05,05,Item de teste 365
Produto 366,466,10,Cat6,A1,06,06,Item de teste 366
Produto 367,467,10,Cat7,A2,07,07,Item de teste 367
Produto 368,468,10,Cat8,A3,08,08,Item de teste 368
Produto 369,469,10,Cat9,A4,09,09,Item de teste 369
Produto 370,470,10,Cat0,A0,10,00,Item de teste 370
Produto 371,471,10,Cat1,A1,11,01,Item de teste 371
Produto 372,472,10,Cat2,A2,12,02,Item de teste 372
Produto 373,473,10,Cat3,A3,13,03,Item de teste 373
Produto 374,474,10,Cat4,A4,14,04,Item de teste 374
Produto 375,475,10,Cat5,A0,15,05,Item de teste 375
Produto 376,476,10,Cat6,A1,16,06,Item de teste 376
Produto 377,477,10,Cat7,A2,17,07,Item de teste 377
Produto 378,478,10,Cat8,A3,18,08,Item de teste 378
Produto 379,479,10,Cat9,A4,19,09,Item de teste 379
Produto 380,480,10,Cat0,A0,00,00,Item de teste 380
Produto 381,481,10,Cat1,A1,01,01,Item de teste 381
Produto 382,482,10,Cat2,A2,02,02,Item de teste 382
Produto 383,483,10,Cat3,A3,03,03,Item de teste 383
Produto 384,484,10,Cat4,A4,04,04,Item de teste 384
Produto 385,485,10,Cat5,A0,05,05,Item de teste 385
Produto 386,486,10,Cat6,A1,06,06,Item de teste 386
Produto 387,487,10,Cat7,A2,07,07,Item de teste 387
Produto 388,488,10,Cat8,A3,08,08,Item de teste 388
Produto 389,489,10,Cat9,A4,09,09,Item de teste 389
Produto 390,490,10,Cat0,A0,10,00,Item de teste 390
Produto 391,491,10,Cat1,A1,11,01,Item de teste 391
Produto 392,492,10,Cat2,A2,12,02,Item de teste 392
Produto 393,493,10,Cat3,A3,13,03,Item de teste 393
Produto 394,494,10,Cat4,A4,14,04,Item de teste 394
Produto 395,495,10,Cat5,A0,15,05,Item de teste 395
Produto 396,496,10,Cat6,A1,16,06,Item de teste 396
Produto 397,497,10,Cat7,A2,17,07,Item de teste 397
Produto 398,498,10,Cat8,A3,18,08,Item de teste 398
Produto 399,499,10,Cat9,A4,19,09,Item de teste 399
Produto 400,500,10,Cat0,A0,00,00,Item de teste 400
Produto 401,501,10,Cat1,A1,01,01,Item de teste 401
Produto 402,502,10,Cat2,A2,02,02,Item de teste 402
Produto 403,503,10,Cat3,A3,03,03,Item de teste 403
Produto 404,504,10,Cat4,A4,04,04,Item de teste 404
Produto 405,505,10,Cat5,A0,05,05,Item de teste 405
Produto 406,506,10,Cat6,A1,06,06,Item de teste 406
Produto 407,507,10,Cat7,A2,07,07,Item de teste 407
Produto 408,508,10,Cat8,A3,08,08,Item de teste 408
Produto 409,509,10,Cat9,A4,09,09,Item de teste 409
Produto 410,510,10,Cat0,A0,10,00,Item de teste 410
Produto 411,511,10,Cat1,A1,11,01,Item de teste 411
Produto 412,512,10,Cat2,A2,12,02,Item de teste 412
Produto 413,513,10,Cat3,A3,13,03,Item de teste 413
Produto 414,514,10,Cat4,A4,14,04,Item de teste 414
Produto 415,515,10,Cat5,A0,15,05,Item de teste 415
Produto 416,516,10,Cat6,A1,16,06,Item de teste 416
Produto 417,517,10,Cat7,A2,17,07,Item de teste 417
Produto 418,518,10,Cat8,A3,18,08,Item de teste 418
Produto 419,519,10,Cat9,A4,19,09,Item de teste 419
Produto 420,520,10,Cat0,A0,00,00,Item de teste 420
Produto 421,521,10,Cat1,A1,01,01,Item de teste 421
Produto 422,522,10,Cat2,A2,02,02,Item de teste 422
Produto 423,523,10,Cat3,A3,03,03,Item de teste 423
Produto 424,524,10,Cat4,A4,04,04,Item de teste 424
Produto 425,525,10,Cat5,A0,05,05,Item de teste 425
Produto 426,526,10,Cat6,A1,06,06,Item de teste 426
Produto 427,527,10,Cat7,A2,07,07,Item de teste 427
Produto 428,528,10,Cat8,A3,08,08,Item de teste 428
Produto 429,529,10,Cat9,A4,09,09,Item de teste 429
Produto 430,530,10,Cat0,A0,10,00,Item de teste 430
Produto 431,531,10,Cat1,A1,11,01,Item de teste 431
Produto 432,532,10,Cat2,A2,12,02,Item de teste 432
Produto 433,533,10,Cat3,A3,13,03,Item de teste 433
Produto 434,534,10,Cat4,A4,14,04,Item de teste 434
Produto 435,535,10,Cat5,A0,15,05,Item de teste 435
Produto 436,536,10,Cat6,A1,16,06,Item de teste 436
Produto 437,537,10,Cat7,A2,17,07,Item de teste 437
Produto 438,538,10,Cat8,A3,18,08,Item de teste 438
Produto 439,539,10,Cat9,A4,19,09,Item de teste 439
Produto 440,540,10,Cat0,A0,00,00,Item de teste 440
Produto 441,541,10,Cat1,A1,01,01,Item de teste 441
Produto 442,542,10,Cat2,A2,02,02,Item de teste 442
Produto 443,543,10,Cat3,A3,03,03,Item de teste 443
Produto 444,544,10,Cat4,A4,04,04,Item de teste 444
Produto 445,545,10,Cat5,A0,05,05,Item de teste 445
Produto 446,546,10,Cat6,A1,06,06,Item de teste 446
Produto 447,547,10,Cat7,A2,07,07,Item de teste 447
Produto 448,548,10,Cat8,A3,08,08,Item de teste 448
Produto 449,549,10,Cat9,A4,09,09,Item de teste 449
Produto 450,550,10,Cat0,A0,10,00,Item de teste 450
Produto 451,551,10,Cat1,A1,11,01,Item de teste 451
Produto 452,552,10,Cat2,A2,12,02,Item de teste 452
Produto 453,553,10,Cat3,A3,13,03,Item de teste 453
Produto 454,554,10,Cat4,A4,14,04,Item de teste 454
Produto 455,555,10,Cat5,A0,15,05,Item de teste 455
Produto 456,556,10,Cat6,A1,16,06,Item de teste 456
Produto 457,557,10,Cat7,A2,17,07,Item de teste 457
Produto 458,558,10,Cat8,A3,18,08,Item de teste 458
Produto 459,559,10,Cat9,A4,19,09,Item de teste 459
Produto 460,560,10,Cat0,A0,00,00,Item de teste 460
Produto 461,561,10,Cat1,A1,01,01,Item de teste 461
Produto 462,562,10,Cat2,A2,02,02,Item de teste 462
Produto 463,563,10,Cat3,A3,03,03,Item de teste 463
Produto 464,564,10,Cat4,A4,04,04,Item de teste 464
